Id,Company,Product,TypeName,Price_euros
21,Asus,Vivobook E200HA,Netbook,191.9
22,Lenovo,Legion Y520-15IKBN,Gaming,999
23,HP,255 G6,Notebook,258
24,Dell,Inspiron 5379,2 in 1 Convertible,819
25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,659
26,Dell,Inspiron 3567,Notebook,418.64
27,Apple,MacBook Air,Ultrabook,1099
28,Dell,Inspiron 5570,Notebook,800
29,Dell,Latitude 5590,Ultrabook,1298
30,HP,ProBook 470,Notebook,896
31,Chuwi,"LapBook 15.6""",Notebook,244.99
32,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,199
33,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,439
34,Dell,XPS 13,Ultrabook,1869
35,Apple,MacBook Air,Ultrabook,998
36,Lenovo,IdeaPad 120S-14IAP,Notebook,249
37,Acer,Aspire 3,Notebook,367
38,Dell,Inspiron 5770,Notebook,979
39,HP,250 G6,Notebook,488.69
40,HP,ProBook 450,Notebook,879